deployment,p_head_basis,eps_case,x_int_pu,n_gfm,gfm_buses,P_head_total_mw,P_load_total_mw,n_load_bus,n_load_bus_unreachable,eps_min_ohm,eps_max_ohm,A_bar,A_raw,Z_avg_ohm,Z_avg_wload_ohm,Z_max_ohm,Z_95_ohm,Z_max_bus
2gfm,bess_mw,eps_numerical,0.0,2,114|60,9.0,3.4899999999999998,85,0,1e-06,1e-06,99200.22246859326,180050.3298203191,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_numerical,0.0,5,114|60|105|47|67,16.5,3.4899999999999998,85,0,1e-06,1e-06,101463.97649569009,337624.9934416786,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_numerical,0.0,6,114|60|105|47|67|1,18.0,3.4899999999999998,85,0,1e-06,1e-06,109540.17042679492,397635.07224316144,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,bess_mw,eps_x005,0.05,2,114|60,9.0,3.4899999999999998,85,0,0.1236114285714286,0.21632000000000004,19.786586685611063,35.91303900442882,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_x005,0.05,5,114|60|105|47|67,16.5,3.4899999999999998,85,0,0.1236114285714286,0.4326400000000001,21.30152367097672,70.8815782517332,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_x005,0.05,6,114|60|105|47|67|1,18.0,3.4899999999999998,85,0,0.1236114285714286,0.4326400000000001,20.86738954778673,75.74943436760137,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,bess_mw,eps_x010,0.1,2,114|60,9.0,3.4899999999999998,85,0,0.2472228571428572,0.4326400000000001,15.83932505111653,28.74868249905061,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_x010,0.1,5,114|60|105|47|67,16.5,3.4899999999999998,85,0,0.2472228571428572,0.8652800000000002,16.251033613223893,54.07589281027516,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_x010,0.1,6,114|60|105|47|67|1,18.0,3.4899999999999998,85,0,0.2472228571428572,0.8652800000000002,15.83211665166065,57.471198228164404,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,bess_mw,eps_x015,0.15,2,114|60,9.0,3.4899999999999998,85,0,0.3708342857142858,0.6489600000000001,13.497799314707501,24.498767825152697,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_x015,0.15,5,114|60|105|47|67,16.5,3.4899999999999998,85,0,0.3708342857142858,1.2979200000000002,13.4192936920965,44.65317742576835,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_x015,0.15,6,114|60|105|47|67|1,18.0,3.4899999999999998,85,0,0.3708342857142858,1.2979200000000002,13.025633573543027,47.28355567504002,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,inverter_mva,eps_numerical,0.0,2,114|60,11.0,3.4899999999999998,85,0,1e-06,1e-06,99200.94036985392,220063.10678616702,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,inverter_mva,eps_numerical,0.0,5,114|60|105|47|67,21.0,3.4899999999999998,85,0,1e-06,1e-06,101572.15035002172,430162.658281313,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,inverter_mva,eps_numerical,0.0,6,114|60|105|47|67|1,23.0,3.4899999999999998,85,0,1e-06,1e-06,109990.07672558053,510176.0966832902,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,inverter_mva,eps_x005,0.05,2,114|60,11.0,3.4899999999999998,85,0,0.1236114285714286,0.21632000000000004,20.072596857986024,44.528187024898486,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,inverter_mva,eps_x005,0.05,5,114|60|105|47|67,21.0,3.4899999999999998,85,0,0.1236114285714286,0.4326400000000001,21.523478379619107,91.15290602130433,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
