pair,gfm_buses,A_bar_2gfm,dAbar_2to6_pct,Z_avg_ohm,dZavg_2to6_pct
G4+G6,47|1,11.237807734584432,40.88260829500756,0.6383747283720806,-55.642349002274806
G1+G6,114|1,13.621653222679619,16.227570859759368,0.6334168387913577,-55.29515214510472
G1+G4,114|47,13.627164286727396,16.180566393265217,0.6539007510064502,-56.695563717716155
G3+G6,105|1,14.996047321399303,5.575264683702885,0.45297575220872743,-37.48715407210532
G3+G4,105|47,15.005232428145598,5.510639221849378,0.4533671645440478,-37.541124233435305
G1+G3,114|105,15.108057988111003,4.792532992125342,0.6897802150774721,-58.948078260383284
G1+G2,114|60,15.83932505111653,-0.045509511501384825,0.5326933978356161,-46.842210693899645
G1+G5,114|67,15.932326365543322,-0.6289710089004585,0.5491327159190662,-48.433588846544275
G2+G6,60|1,16.458581447410356,-3.806310998012996,0.4269468319099316,-33.676042798532656
G2+G4,60|47,16.46776655415665,-3.859964254445636,0.4072457443654795,-30.467527779777903
G5+G6,67|1,16.64458407626394,-4.881272015453431,0.4036577979583773,-29.84948253169575
G4+G5,47|67,16.653769183010237,-4.933733152659614,0.3963514343657328,-28.556324131358945
G2+G3,60|105,17.97895653937475,-11.940848085440447,0.530605865380575,-46.63307502907783
G3+G5,105|67,18.11845851101494,-12.618854181023897,0.5521987792124081,-48.71990943680796
G2+G5,60|67,19.215359105523227,-17.606969691709295,0.5233647371771505,-45.89470517324595
