deployment,p_head_basis,eps_case,x_int_pu,n_gfm,gfm_buses,P_head_total_mw,P_load_total_mw,n_load_bus,n_load_bus_unreachable,eps_min_ohm,eps_max_ohm,A_bar,A_raw,Z_avg_ohm,Z_avg_wload_ohm,Z_max_ohm,Z_95_ohm,Z_max_bus
2gfm,bess_mw,eps_numerical,0.0,2,114|60,1.7069999999999999,3.4899999999999998,85,0,1e-06,1e-06,99200.22246859326,34149.54588925385,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_numerical,0.0,5,114|60|105|47|67,3.1294999999999997,3.4899999999999998,85,0,1e-06,1e-06,101463.97649569009,64036.20708943836,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_numerical,0.0,6,114|60|105|47|67|1,3.4139999999999997,3.4899999999999998,85,0,1e-06,1e-06,109540.17042679492,75418.11870211961,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,bess_mw,eps_x005,0.05,2,114|60,1.7069999999999999,3.4899999999999998,85,0,0.6517134894931085,1.1404771319362068,10.350489525610348,3.5631423824979667,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_x005,0.05,5,114|60|105|47|67,3.1294999999999997,3.4899999999999998,85,0,0.6517134894931085,2.281254943316636,9.839370049536761,6.209848656468901,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_x005,0.05,6,114|60|105|47|67|1,3.4139999999999997,3.4899999999999998,85,0,0.6517134894931085,2.281254943316636,9.501672805144196,6.54187668957449,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,bess_mw,eps_x010,0.1,2,114|60,1.7069999999999999,3.4899999999999998,85,0,1.303426978986217,2.2809542638724136,6.920291945448147,2.382301384787071,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_x010,0.1,5,114|60|105|47|67,3.1294999999999997,3.4899999999999998,85,0,1.303426978986217,4.562509886633272,6.254288549516463,3.947222754185585,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_x010,0.1,6,114|60|105|47|67|1,3.4139999999999997,3.4899999999999998,85,0,1.303426978986217,4.562509886633272,6.005949225582358,4.135080216226089,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,bess_mw,eps_x015,0.15,2,114|60,1.7069999999999999,3.4899999999999998,85,0,1.9551404684793252,3.42143139580862,5.25335263676381,1.8084597239526985,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,bess_mw,eps_x015,0.15,5,114|60|105|47|67,3.1294999999999997,3.4899999999999998,85,0,1.9551404684793252,6.843764829949908,4.632303120225032,2.9235511178726754,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,bess_mw,eps_x015,0.15,6,114|60|105|47|67|1,3.4139999999999997,3.4899999999999998,85,0,1.9551404684793252,6.843764829949908,4.43673648571079,3.054681379676871,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,inverter_mva,eps_numerical,0.0,2,114|60,2.0864000000000003,3.4899999999999998,85,0,1e-06,1e-06,99200.94047307975,41739.96967967521,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,inverter_mva,eps_numerical,0.0,5,114|60|105|47|67,3.9831000000000008,3.4899999999999998,85,0,1e-06,1e-06,101566.90367617023,81585.35143384869,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,inverter_mva,eps_numerical,0.0,6,114|60|105|47|67|1,4.362400000000001,3.4899999999999998,85,0,1e-06,1e-06,109984.41789248704,96759.90002678365,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,inverter_mva,eps_x005,0.05,2,114|60,2.0864000000000003,3.4899999999999998,85,0,0.6517134894931085,1.1404771319362068,10.356789312341084,4.357741668721501,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,inverter_mva,eps_x005,0.05,5,114|60|105|47|67,3.9831000000000008,3.4899999999999998,85,0,0.6517134894931085,2.281254943316636,9.818379278748502,7.886780978590121,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,inverter_mva,eps_x005,0.05,6,114|60|105|47|67|1,4.362400000000001,3.4899999999999998,85,0,0.6517134894931085,2.281254943316636,9.467860991058878,8.329446120793813,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
2gfm,inverter_mva,eps_x010,0.1,2,114|60,2.0864000000000003,3.4899999999999998,85,0,1.303426978986217,2.2809542638724136,6.885808253935249,2.8972853116983313,0.5326933978356161,0.5386227679801237,1.04800652781994,0.9559593936304638,50
5gfm,inverter_mva,eps_x010,0.1,5,114|60|105|47|67,3.9831000000000008,3.4899999999999998,85,0,1.303426978986217,4.562509886633272,6.204544261174893,4.9839062304071025,0.34827295251056356,0.3033253547548935,0.7652111155510674,0.6798179910620352,5
6gfm,inverter_mva,eps_x010,0.1,6,114|60|105|47|67|1,4.362400000000001,3.4899999999999998,85,0,1.303426978986217,4.562509886633272,5.949759450462781,5.234360836213651,0.28316803406896374,0.25458012609930036,0.7263960589651437,0.6265859134584826,32
