target_gfm,target_soc,soc_others,P_head_total_mw,dP_critical_mw,A_bar
G1,0.1,0.8,12.0,0.0,16.63764547262434
G1,0.125,0.8,13.2,3.9428571428571417,16.4179557941797
G1,0.15,0.8,14.399999999999999,7.8857142857142835,16.234881062142495
G1,0.175,0.8,15.6,11.828571428571426,16.07997167349563
G1,0.2,0.8,16.8,15.771428571428572,15.947192197512608
G1,0.225,0.8,18.0,17.25,15.83211665166065
G1,0.25,0.8,18.0,17.25,15.83211665166065
G1,0.275,0.8,18.0,17.25,15.83211665166065
G1,0.3,0.8,18.0,17.25,15.83211665166065
G1,0.325,0.8,18.0,17.25,15.83211665166065
G1,0.35,0.8,18.0,17.25,15.83211665166065
G1,0.375,0.8,18.0,17.25,15.83211665166065
G1,0.4,0.8,18.0,17.25,15.83211665166065
G1,0.425,0.8,18.0,17.25,15.83211665166065
G1,0.45,0.8,18.0,17.25,15.83211665166065
G1,0.475,0.8,18.0,17.25,15.83211665166065
G1,0.5,0.8,18.0,17.25,15.83211665166065
G1,0.525,0.8,18.0,17.25,15.83211665166065
G1,0.55,0.8,18.0,17.25,15.83211665166065
G1,0.575,0.8,18.0,17.25,15.83211665166065
G1,0.6,0.8,18.0,17.25,15.83211665166065
G1,0.625,0.8,18.0,17.25,15.83211665166065
G1,0.65,0.8,18.0,17.25,15.83211665166065
G1,0.675,0.8,18.0,17.25,15.83211665166065
G1,0.7,0.8,18.0,17.25,15.83211665166065
G1,0.725,0.8,18.0,17.25,15.83211665166065
G1,0.75,0.8,18.0,17.25,15.83211665166065
G1,0.775,0.8,18.0,17.25,15.83211665166065
G1,0.8,0.8,18.0,17.25,15.83211665166065
G1,0.825,0.8,18.0,17.25,15.83211665166065
G1,0.85,0.8,18.0,17.25,15.83211665166065
G1,0.875,0.8,18.0,17.25,15.83211665166065
G1,0.9,0.8,18.0,17.25,15.83211665166065
G1,0.925,0.8,18.0,17.25,15.83211665166065
G1,0.95,0.8,18.0,17.25,15.83211665166065
G1,0.975,0.8,18.0,17.25,15.83211665166065
G1,1.0,0.8,18.0,17.25,15.83211665166065
G2,0.1,0.8,15.0,0.0,15.183368555216175
G2,0.125,0.8,15.6,3.4499999999999993,15.333079654395668
G2,0.15,0.8,16.2,6.899999999999999,15.47170104252483
G2,0.175,0.8,16.8,10.349999999999998,15.60042090293048
G2,0.2,0.8,17.4,13.800000000000002,15.720263531584019
G2,0.225,0.8,18.0,17.25,15.83211665166065
G2,0.25,0.8,18.0,17.25,15.83211665166065
G2,0.275,0.8,18.0,17.25,15.83211665166065
G2,0.3,0.8,18.0,17.25,15.83211665166065
G2,0.325,0.8,18.0,17.25,15.83211665166065
G2,0.35,0.8,18.0,17.25,15.83211665166065
G2,0.375,0.8,18.0,17.25,15.83211665166065
G2,0.4,0.8,18.0,17.25,15.83211665166065
G2,0.425,0.8,18.0,17.25,15.83211665166065
G2,0.45,0.8,18.0,17.25,15.83211665166065
G2,0.475,0.8,18.0,17.25,15.83211665166065
G2,0.5,0.8,18.0,17.25,15.83211665166065
G2,0.525,0.8,18.0,17.25,15.83211665166065
G2,0.55,0.8,18.0,17.25,15.83211665166065
G2,0.575,0.8,18.0,17.25,15.83211665166065
G2,0.6,0.8,18.0,17.25,15.83211665166065
G2,0.625,0.8,18.0,17.25,15.83211665166065
G2,0.65,0.8,18.0,17.25,15.83211665166065
G2,0.675,0.8,18.0,17.25,15.83211665166065
G2,0.7,0.8,18.0,17.25,15.83211665166065
G2,0.725,0.8,18.0,17.25,15.83211665166065
G2,0.75,0.8,18.0,17.25,15.83211665166065
G2,0.775,0.8,18.0,17.25,15.83211665166065
G2,0.8,0.8,18.0,17.25,15.83211665166065
G2,0.825,0.8,18.0,17.25,15.83211665166065
G2,0.85,0.8,18.0,17.25,15.83211665166065
G2,0.875,0.8,18.0,17.25,15.83211665166065
G2,0.9,0.8,18.0,17.25,15.83211665166065
G2,0.925,0.8,18.0,17.25,15.83211665166065
G2,0.95,0.8,18.0,17.25,15.83211665166065
G2,0.975,0.8,18.0,17.25,15.83211665166065
G2,1.0,0.8,18.0,17.25,15.83211665166065
