soc,hold_time_h,P_head_total_mw,P_head_frac_of_rated,dP_critical_mw,A_bar,binding_gfm,P_head_G1_mw,P_head_G2_mw,P_head_G3_mw,P_head_G4_mw,P_head_G5_mw,P_head_G6_mw
0.1,0.08333333333333333,0.0,0.0,0.0,,G1,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.08333333333333333,4.499999999999999,0.24999999999999994,4.312499999999999,15.83211665166065,G2,1.4999999999999996,0.7499999999999998,0.7499999999999998,0.3749999999999999,0.7499999999999998,0.3749999999999999
0.15,0.08333333333333333,8.999999999999998,0.4999999999999999,8.624999999999998,15.83211665166065,G2,2.999999999999999,1.4999999999999996,1.4999999999999996,0.7499999999999998,1.4999999999999996,0.7499999999999998
0.175,0.08333333333333333,13.499999999999996,0.7499999999999998,12.937499999999995,15.83211665166065,G2,4.499999999999998,2.249999999999999,2.249999999999999,1.1249999999999996,2.249999999999999,1.1249999999999996
0.2,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.225,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.25,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.275,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.3,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.325,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.35,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.375,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.4,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.425,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.45,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.475,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.5,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.525,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.55,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.575,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.6,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.625,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.65,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.675,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.7,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.725,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.75,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.775,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.8,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.825,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
0.85,0.08333333333333333,18.0,1.0,17.25,15.83211665166065,G2,6.0,3.0,3.0,1.5,3.0,1.5
