soc,hold_time_h,P_head_total_mw,P_head_frac_of_rated,dP_critical_mw,A_bar,binding_gfm,P_head_G1_mw,P_head_G2_mw,P_head_G3_mw,P_head_G4_mw,P_head_G5_mw,P_head_G6_mw
0.1,0.08333333333333333,0.0,0.0,0.0,,G1,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.08333333333333333,0.8534999999999998,0.24999999999999997,0.8179140635297217,6.005949225582358,G2,0.2844999999999999,0.14224999999999996,0.14224999999999996,0.07112499999999998,0.14224999999999996,0.07112499999999998
0.15,0.08333333333333333,1.7069999999999996,0.49999999999999994,1.6358281270594435,6.005949225582358,G2,0.5689999999999998,0.2844999999999999,0.2844999999999999,0.14224999999999996,0.2844999999999999,0.14224999999999996
0.175,0.08333333333333333,2.5604999999999993,0.7499999999999999,2.453742190589165,6.005949225582358,G2,0.8534999999999997,0.42674999999999985,0.42674999999999985,0.21337499999999993,0.42674999999999985,0.21337499999999993
0.2,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.225,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.25,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.275,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.3,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.325,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.35,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.375,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.4,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.425,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.45,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.475,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.5,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.525,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.55,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.575,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.6,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.625,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.65,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.675,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
