run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,mu_P_ana_headroom_only,no_equilibrium,dP_critical_ana_mw,error
dpmax_001,G0,6gfm,load_step,0.05,0.0,3.414,,0.12607738859343479,,0.1640159045725646,,,,,,0.8592568011681848,,,True,13.775,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.95806665396767,59.96561480097183,-0.03438519902817205,-0.03438474234366404,0.08386669206466026,0.004459190365405026,0.9961320851613514,0.9998616122741426,0.7160473343068207,G4,0.17004216463160807,G6,0,0.0500006693181374,0.6101031605338058,True,7.999999999999988,True,True,0.014645577035735208,False,3.414,
dpmax_002,G0,6gfm,load_step,3.0,0.0,3.414,,0.6896051103368177,,0.897117296222664,,,,,,10.226856951204011,,,False,3.474,andes-2.0.0-trapezoid,0.002,andes,True,True,tds stopped at t=1.067s; f_nadir 57.6373 < 59.0; rocof 4.7330 > 2.0; v_min 0.2276 < 0.9; mu_I 8.5224 > 1.0 (G4),57.63729270821918,58.281907307410705,-1.7180926925892948,-2.0630845406198417,4.7330478347082074,0.29073621041945424,0.22761787740488462,0.9998571542416647,8.52238079267001,G4,1.6303217646601247,G6,5,2.974163555359535,0.6101031605338058,False,1.067193622015545,True,False,0.8787346221441125,False,3.414,
dpmax_003,G0,6gfm,load_step,1.525,0.0,3.414,,0.40784124946512623,,0.5305666003976143,,,,,,6.263384163596168,,,False,28.759,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 56.7555 < 59.0; rocof 6.5125 > 2.0; v_min 0.4556 < 0.9; mu_I 5.2195 > 1.0 (G4),56.755515479134836,58.95118131624472,-1.0488186837552789,-1.0487346414817529,6.512520043280004,0.2795055126295463,0.45559014058917074,1.057442838694846,5.219486802996808,G4,2.531166818652232,G6,0,1.525124830106849,0.6101031605338058,True,7.999999999999988,True,True,0.4466900995899238,False,3.414,
dpmax_004,G0,6gfm,load_step,0.7875,0.0,3.414,,0.2669593190292805,,0.3472912524850894,,,,,,1.3855631144461646,,,False,12.788,andes-2.0.0-trapezoid,0.002,andes,True,True,mu_I 1.1546 > 1.0 (G4),59.33701288112915,59.4584112660928,-0.5415887339071972,-0.5415596919127086,1.3293456761391147,0.07048132681013232,0.9422111442745356,0.9998571542416647,1.1546359287051373,G4,0.4426386356907518,G6,0,0.7875422594302072,0.6101031605338058,True,7.999999999999988,True,True,0.2306678383128295,False,3.414,
dpmax_005,G0,6gfm,load_step,0.41875,0.0,3.414,,0.19651835381135765,,0.25565357852882703,,,,,,1.1128202877973565,,,True,11.556,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.64820654331689,59.71201871813935,-0.2879812818606524,-0.28797221712818627,0.7035869133662233,0.03740910273467087,0.9702031227105746,0.9998819473967216,0.9273502398311304,G4,0.3062403008471349,G6,0,0.4187632012435568,0.6101031605338058,True,7.999999999999988,True,True,0.12265670767428237,False,3.414,
dpmax_006,G0,6gfm,load_step,0.603125,0.0,3.414,,0.23173883642031912,,0.30147241550695825,,,,,,1.2467583876318482,,,False,12.021,andes-2.0.0-trapezoid,0.002,andes,True,True,mu_I 1.0390 > 1.0 (G4),59.4928582268186,59.58521642676773,-0.41478357323227044,-0.4147659545204474,1.0174229356309679,0.05392581728511461,0.956470322980545,0.9998571542416647,1.0389653230265403,G4,0.3744149368204747,G6,0,0.6031506456920989,0.6101031605338058,True,7.999999999999988,True,True,0.17666227299355597,False,3.414,
dpmax_007,G0,6gfm,load_step,0.5109375,0.0,3.414,,0.21412859511583837,,0.27856299701789267,,,,,,1.1791890287762545,,,True,11.654,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.57058785764216,59.648617910490174,-0.3513820895098263,-0.3513690858243169,0.859261191718433,0.045662737242646224,0.9634052826652707,0.9998571542416647,0.9826575239802121,G4,0.3403214232405834,G6,0,0.5109564319154208,0.6101031605338058,True,7.999999999999988,True,True,0.14965949033391918,False,3.414,
dpmax_008,G0,6gfm,load_step,0.5570312500000001,0.0,3.414,,0.22293371576807874,,0.29001770626242546,,,,,,1.2128228147453883,,,False,12.259,andes-2.0.0-trapezoid,0.002,andes,True,True,mu_I 1.0107 > 1.0 (G4),59.53173317938344,59.61691724875911,-0.38308275124089164,-0.3830675201723822,0.9398479309351719,0.04979012349658975,0.9599552355964751,0.9998571542416647,1.0106856789544902,G4,0.3573666388380709,G6,0,0.5570534223855911,0.6101031605338058,True,7.999999999999988,True,True,0.16316088166373757,False,3.414,
dpmax_009,G0,6gfm,load_step,0.6400000000000001,0.0,3.414,,0.2387829329421114,,0.31063618290258455,,,,,,1.2741254790433767,,,False,12.009,andes-2.0.0-trapezoid,0.002,andes,True,True,mu_I 1.0618 > 1.0 (G4),59.46171307239889,59.55985565636262,-0.4401443436373782,-0.4401247019988997,1.0788253021127716,0.05723379841242051,0.9536563322305357,0.9998571542416647,1.0617712325361475,G4,0.3880557838188493,G6,0,0.6400285884299218,0.6101031605338058,True,7.999999999999988,True,True,0.1874633860574107,False,3.414,
dpmax_010,G0,6gfm,load_step,1.2300000000000002,0.0,3.414,,0.35148847729078797,,0.45725646123260444,,,,,,1.7377378249970568,,,False,14.171,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 58.9583 < 59.0; rocof 2.0882 > 2.0; mu_I 1.4481 > 1.0 (G4),58.95828186854695,59.15406775137562,-0.8459322486243792,-0.8458646616541353,2.0882270383683594,0.11048837720732588,0.904510952620197,0.9998571542416647,1.4481148541642141,G4,0.6065695332961637,G6,0,1.2300983625139525,0.6101031605338058,True,7.999999999999988,True,True,0.3602811950790862,False,3.414,
