run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,mu_P_ana_headroom_only,no_equilibrium,dP_critical_ana_mw,error
dpmax_001,G0,6gfm,gen_loss,0.05,0.0,3.414,,0.12607738859343479,,0.1640159045725646,,,,,,0.8520785415157431,,,True,13.889,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.960374183355604,59.965615394433534,-0.03438460556646561,-0.03438474234366404,0.07925163328879138,0.004219764772895189,0.9965718064723392,0.9998600579887243,0.7100654512631193,G4,0.15949754674615021,G6,0,0.049999803279563215,0.5601028650481986,True,7.999999999999988,True,True,0.014645577035735208,False,3.414,
dpmax_002,G0,6gfm,gen_loss,3.0,0.0,3.414,,0.6896051103368177,,0.897117296222664,,,,,,4.2523270151616375,,,False,21.63,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 55.1798 < 59.0; rocof 9.6781 > 2.0; v_min 0.6249 < 0.9; mu_I 3.5436 > 1.0 (G4),55.17979004435562,57.939407294167935,-2.0605927058320646,-2.0630845406198417,9.67812392825191,0.43289181552025785,0.6249449092745466,1.003866591800166,3.543605845968031,G4,7.030109881171078,G6,0,2.996377170188416,-2.3894858854941736,True,7.999999999999988,True,True,0.8787346221441125,False,3.414,
dpmax_003,G0,6gfm,gen_loss,1.525,0.0,3.414,,0.40784124946512623,,0.5305666003976143,,,,,,1.6536357085976825,,,False,14.366,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 58.7763 < 59.0; rocof 2.4545 > 2.0; mu_I 1.3780 > 1.0 (G4),58.776344654856125,58.95233492607699,-1.0476650739230067,-1.0487346414817529,2.4544542824455053,0.1304720022628923,0.9073389956995584,0.9998302875629121,1.3780297571647355,G4,0.5348786279022755,G6,0,1.5234456963081269,-0.914796875384762,True,7.999999999999988,True,True,0.4466900995899238,False,3.414,
dpmax_004,G0,6gfm,gen_loss,0.7875,0.0,3.414,,0.2669593190292805,,0.3472912524850894,,,,,,1.2300105039116525,,,False,12.438,andes-2.0.0-trapezoid,0.002,andes,True,True,mu_I 1.0250 > 1.0 (G4),59.3735678922286,59.45861742784324,-0.5413825721567633,-0.5415596919127086,1.2540120040805378,0.06685410431654777,0.9525809692624511,0.9998432921861053,1.0250087532597103,G4,0.30446427207024584,G6,0,0.787242499890549,-0.17737335360179157,True,7.999999999999988,True,True,0.2306678383128295,False,3.414,
dpmax_005,G0,6gfm,gen_loss,0.41875,0.0,3.414,,0.19651835381135765,,0.25565357852882703,,,,,,1.0415416931026384,,,True,11.535,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.66755390986272,59.71203371927244,-0.28796628072755937,-0.28797221712818627,0.6648921802745634,0.03544241268327953,0.9747449144234342,0.9998841229046174,0.8679514109188654,G4,0.2245762345333285,G6,0,0.41874138333828004,0.19135816771500166,True,7.999999999999988,True,True,0.12265670767428237,False,3.414,
dpmax_006,G0,6gfm,gen_loss,0.603125,0.0,3.414,,0.23173883642031912,,0.30147241550695825,,,,,,1.135954780807207,,,True,11.994,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.52075843263862,59.585305452218506,-0.41469454778149384,-0.4147659545204474,0.9590585698646739,0.05111900932554218,0.9637042848555502,0.9998465399118833,0.9466289840060059,G4,0.26236991170720597,G6,0,0.6030211972910743,0.006990760114906718,True,7.999999999999988,True,True,0.17666227299355597,False,3.414,
dpmax_007,G0,6gfm,gen_loss,0.6953125,0.0,3.414,,0.2493490777247998,,0.3243818339960239,,,,,,1.1830341192651113,,,True,12.151,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.44723091577635,59.52195903494967,-0.478040965050333,-0.47816282321657794,1.1067564232160014,0.058975731156225245,0.9581526303576238,0.9998449162205155,0.9858617660542593,G4,0.2828348603054414,G6,0,0.6951353438637563,-0.0851917084530988,True,7.999999999999988,True,True,0.20366505565319273,False,3.414,
dpmax_008,G0,6gfm,gen_loss,0.74140625,0.0,3.414,,0.2581541983770402,,0.3358365432405567,,,,,,1.2065360359166084,,,False,12.3,andes-2.0.0-trapezoid,0.002,andes,True,True,mu_I 1.0054 > 1.0 (G4),59.410425371584985,59.49028726600637,-0.5097127339936307,-0.5098612575646432,1.1800815212318032,0.0629194222553951,0.9553694611525851,0.9998441042461894,1.0054466965971738,G4,0.293497879099501,G6,0,0.7411903249836521,-0.13128263392517822,True,7.999999999999988,True,True,0.21716644698301113,False,3.414,
dpmax_009,G0,6gfm,gen_loss,0.6400000000000001,0.0,3.414,,0.2387829329421114,,0.31063618290258455,,,,,,1.1547979965823136,,,True,11.784,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.491364984070565,59.5599663248992,-0.4400336751007998,-0.4401247019988997,1.018401169105742,0.05426836180676554,0.9614859888850812,0.9998458904764987,0.9623316638185948,G4,0.27042224389497527,G6,0,0.6398676705062243,-0.02988232610785837,True,7.999999999999988,True,True,0.1874633860574107,False,3.414,
dpmax_010,G0,6gfm,gen_loss,1.2300000000000002,0.0,3.414,,0.35148847729078797,,0.45725646123260444,,,,,,1.4530799991218082,,,False,13.19,andes-2.0.0-trapezoid,0.002,andes,True,True,mu_I 1.2109 > 1.0 (G4),59.017741486121274,59.1547943212356,-0.8452056787644011,-0.8458646616541353,1.9665119680397962,0.10487891648750407,0.9255552417651045,0.9998354920462087,1.2108999992681735,G4,0.42813015987097247,G6,0,1.2290419461586641,-0.6198337894052515,True,7.999999999999988,True,True,0.3602811950790862,False,3.414,
dpmax_011,G0,6gfm,gen_loss,1.8200000000000003,0.0,3.414,,0.46419402163946455,,0.6038767395626243,,,,,,4.351967051662111,,,False,30.325,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 56.7114 < 59.0; rocof 6.5999 > 2.0; v_min 0.6481 < 0.9; mu_I 3.6266 > 1.0 (G1),56.711356624459356,58.757136375271855,-1.2428636247281446,-1.251604621309371,6.599916591375081,0.27490755559274765,0.6481225862459882,1.037386537262474,3.626639209718426,G1,3.605345969515693,G6,0,1.8072943001253738,-1.2097515321832752,True,7.999999999999988,True,True,0.5330990041007617,False,3.414,
dpmax_012,G0,6gfm,gen_loss,2.41,0.0,3.414,,0.5768995659881412,,0.7504970178926441,,,,,,4.230391544384723,,,False,23.608,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 56.0024 < 59.0; rocof 8.0259 > 2.0; v_min 0.6338 < 0.9; mu_I 3.5253 > 1.0 (G4),56.002427829067365,58.347776508543014,-1.6522234914569864,-1.6573445809646066,8.025929862383022,0.35234039189179855,0.6338015766765016,1.0210543813233453,3.5253262869872692,G4,4.345927350211047,G6,0,2.402552017236094,-1.7996355617771993,True,7.999999999999988,True,True,0.705916813122437,False,3.414,
