kp_plim,kp_i,ki_i,pflow_converged,eig_ok,error,n_modes,n_free_angle,max_re_all,max_re,n_unstable,stable,zeta_min,f_at_zeta_min_hz,zeta_min_lf,f_at_zeta_min_lf_hz,f_worst_unstable_hz,wallclock_s
0.005,0.5,20.0,True,True,,108,13,34.67369251632252,34.67369251632252,10,False,-0.081206390254754,50.996678472578935,0.7263569164455334,4.882506795597762,124.81095688831736,3.51
0.01,0.5,20.0,True,True,,108,13,34.672417918961344,34.672417918961344,10,False,-0.0811603945882539,51.027534268312586,0.7264200319088184,0.31919189722549635,124.82352695513906,0.38
0.05,0.5,20.0,True,True,,108,13,34.66221767962364,34.66221767962364,10,False,-0.08079202073658842,51.273894051428755,0.7258197323022801,0.3196634840628632,124.92405169202141,0.25
0.5,0.5,20.0,True,True,,108,13,34.54709685989022,34.54709685989022,10,False,-0.07665537591302338,53.98770249654883,0.7184651047199624,0.3250754190014628,126.0505932279734,0.25
1.0,0.5,20.0,True,True,,108,13,34.418616907929106,34.418616907929106,10,False,-0.07224128590731058,56.88635585541468,0.7090864764955763,0.33110423668426353,127.2930109826534,0.25
2.0,0.5,20.0,True,True,,108,13,34.161091441724224,34.161091441724224,10,False,-0.06442084750413564,62.3579650914431,0.6879361532389862,0.3416492561318992,129.74911948512025,0.26
5.0,0.5,20.0,True,True,,108,13,33.40038483919582,33.40038483919582,10,False,-0.04921462925439074,81.59657041508638,0.635759399789787,0.3499711327597683,136.8989480691882,0.26
10.0,0.5,20.0,True,True,,108,13,32.229886981346,32.229886981346,10,False,-0.038953752148972134,118.344103044742,0.6110847939247267,0.33040721574261633,148.15765747806392,0.6
0.005,0.35,12.0,True,True,,108,13,26.509767723012573,26.509767723012573,10,False,-0.05847075648991647,44.30989803023705,0.6963540698552053,4.127652366326183,89.5444567942894,0.26
0.01,0.35,12.0,True,True,,108,13,26.495474753042245,26.495474753042245,10,False,-0.05830115123413149,44.34166797867177,0.6979549557569823,4.121607005444994,89.56110769866015,0.27
0.05,0.35,12.0,True,True,,108,13,26.381352834016127,26.381352834016127,10,False,-0.05695610593300393,44.595468051789815,0.7105819213018221,4.074411689292712,89.69424973042983,0.26
0.5,0.35,12.0,True,True,,108,13,25.124445832826762,25.124445832826762,10,False,-0.04933561139430677,65.82829746397553,0.7190063834414174,0.3251422409277529,91.18411370945002,0.25
1.0,0.35,12.0,True,True,,108,13,23.784947327106096,23.784947327106096,10,False,-0.04278728509227851,68.02582503532732,0.7095797787235193,0.33123108197867407,92.82235032989632,0.24
2.0,0.35,12.0,True,True,,108,13,21.2787121111394,21.2787121111394,10,False,-0.03523878781684094,96.04498540472416,0.6882895107745278,0.34188768930058355,96.04498540472416,0.52
5.0,0.35,12.0,True,True,,108,13,14.981647515408236,14.981647515408236,6,False,-0.022639027043291796,105.29569760557175,0.6358361052306957,0.3502607325428738,105.29569760557175,0.21
10.0,0.35,12.0,True,True,,108,13,7.5308136174420355,7.5308136174420355,2,False,-0.010032954147451676,119.45692860235206,0.6111458273941343,0.33058491401463486,119.45692860235206,0.21
0.005,0.2,5.0,True,True,,108,13,9.45382435143065,9.45382435143065,6,False,-0.027470185670853162,54.75227160720905,0.641277146603357,3.0809666628835815,54.75227160720905,0.21
0.01,0.2,5.0,True,True,,108,13,9.397960322692043,9.397960322692043,6,False,-0.027296120855856164,54.776080667215936,0.6421869084287635,3.0777205067294564,54.776080667215936,0.22
0.05,0.2,5.0,True,True,,108,13,8.952676863773696,8.952676863773696,6,False,-0.02591364886478324,54.966565840843124,0.6494514362510052,3.052021444339225,54.966565840843124,0.23
0.5,0.2,5.0,True,True,,108,13,4.146475382415318,4.146475382415318,2,False,-0.011554804004640934,57.10940634449333,0.7209232131863269,0.32542558090581325,57.10940634449333,0.24
1.0,0.2,5.0,True,True,,108,13,4.725610737154897e-10,-0.7484070715159135,0,True,0.002002463257950931,59.482962092293725,0.7113130859164254,0.3317392374099293,,0.5
2.0,0.2,5.0,True,True,,108,13,3.624516014195501e-10,-2.0504449542186123,0,True,0.02273954092113256,64.16717525789468,0.6894926148998138,0.34280941691937766,,0.22
5.0,0.2,5.0,True,True,,108,13,1.1022392828153232e-14,-1.81954437471216,0,True,0.05323685391764368,77.31987879272324,0.636033838388061,0.35134130237354005,,0.23
10.0,0.2,5.0,True,True,,108,13,5.285842829242862e-10,-1.6076904484351089,0,True,0.06482725298401833,96.06703961974821,0.6113174283641377,0.3312408357369632,,0.23
0.005,0.1,3.0,True,True,,108,13,4.213777227260695e-15,-2.151375929082434,0,True,0.0355584195023315,31.610704037848844,0.47222921866652523,2.9708163055302204,,0.21
0.01,0.1,3.0,True,True,,108,13,1.585108114614622e-09,-2.151320375436207,0,True,0.036428493206893,31.63967718683962,0.4728031215725718,2.9703306549669946,,0.21
0.05,0.1,3.0,True,True,,108,13,1.254894063558028e-09,-2.150851172784293,0,True,0.0433189432762644,31.873950988285753,0.47736847744752187,2.966689314043362,,0.47
0.5,0.1,3.0,True,True,,108,13,7.511533605010553e-10,-2.142281181762529,0,True,0.10990330883239915,34.81431859652885,0.5235961632921798,2.959848096036865,,0.22
1.0,0.1,3.0,True,True,,108,13,8.94342986748544e-16,-2.1248100248573696,0,True,0.15585765551628147,38.56352409308557,0.5559142052872588,3.0320109508326873,,0.22
2.0,0.1,3.0,True,True,,108,13,0.0,-2.0646537571045522,0,True,0.18737735986239856,46.114561572845055,0.5668291608384916,3.269236493438479,,0.22
5.0,0.1,3.0,True,True,,108,13,2.2582105754028347e-10,-1.8273061674321496,0,True,0.17794765129499743,64.36515747936254,0.5400873006172627,3.6794365134599496,,0.21
10.0,0.1,3.0,True,True,,108,13,6.613189327877793e-10,-1.612303399908944,0,True,0.14815225659565376,86.55939644886908,0.5118985988787699,3.94069953874814,,0.22
