pflow_converged,eig_ok,error,n_modes,n_free_angle,max_re_all,max_re,n_unstable,stable,zeta_min,f_at_zeta_min_hz,zeta_min_lf,f_at_zeta_min_lf_hz,f_worst_unstable_hz,wallclock_s,deployment,x_f_pu,droop_r,load_p2z,p_head_mw,config,kp_plim,kp_i,ki_i
True,True,,47,5,1.877586327033768,1.877586327033768,2,False,-0.0021417527291808193,139.52425767048334,0.5050427923676172,0.2834087323503974,139.52425767048334,3.14,2gfm,0.05,0.02,0.0,,current,5.0,0.2,5.0
True,True,,47,5,0.9487687288233815,0.9487687288233815,2,False,-0.0010792449767856893,139.91368813420254,0.5139669060117712,0.27323905066440274,139.91368813420254,0.3,2gfm,0.05,0.02,1.0,,current,5.0,0.2,5.0
True,True,,47,5,2.2743327416494623e-15,-1.0837606094180372,0,True,0.004623028323328484,147.1589579380128,0.5401071551906913,0.26876787558922416,,0.2,2gfm,0.05,0.03,0.0,,current,5.0,0.2,5.0
True,True,,47,5,2.5358614672431374e-09,-1.0577410812525747,0,True,0.005473710148285309,147.52767138282525,0.5437850548470332,0.2598067358327869,,0.21,2gfm,0.05,0.03,1.0,,current,5.0,0.2,5.0
True,True,,47,5,0.0,-1.099120925622898,0,True,0.01361843109934534,161.6157721981489,0.5624490792079013,0.2571577605429533,,0.2,2gfm,0.05,0.05,0.0,,current,5.0,0.2,5.0
True,True,,47,5,1.8867744053966825e-10,-1.0670864489679754,0,True,0.014196536175591521,161.9485121114607,0.5625798225097662,0.24957788322881713,,0.2,2gfm,0.05,0.05,1.0,,current,5.0,0.2,5.0
True,True,,47,5,2.185657445667169e-09,-1.0423087174701273,0,True,0.01398543792712225,77.34936321825788,0.5049323828850609,0.28357897664933107,,0.2,2gfm,0.1,0.02,0.0,,current,5.0,0.2,5.0
True,True,,47,5,1.6364862579934723e-08,-1.0290065508268968,0,True,0.01567553094149455,77.71835674725108,0.5139049090319172,0.27337917033421344,,0.44,2gfm,0.1,0.02,1.0,,current,5.0,0.2,5.0
True,True,,47,5,2.180775339901238e-09,-1.084262449554636,0,True,0.028758017784225414,84.20403713107302,0.5400864896880495,0.2689068558754986,,0.2,2gfm,0.1,0.03,0.0,,current,5.0,0.2,5.0
True,True,,47,5,1.1368241751644832e-10,-1.0582043360462814,0,True,0.029826557960831637,84.53888452883119,0.5437876270805861,0.25991877670533364,,0.2,2gfm,0.1,0.03,1.0,,current,5.0,0.2,5.0
True,True,,47,5,6.074626126514416e-15,-1.0996822172943415,0,True,0.04385829213360457,96.97379296833569,0.5624792694238152,0.2572688841077697,,0.2,2gfm,0.1,0.05,0.0,,current,5.0,0.2,5.0
True,True,,47,5,3.224565294927051e-08,-1.0675738847569436,0,True,0.04435741512771108,97.25291670112733,0.5626157939798347,0.24966853128188168,,0.2,2gfm,0.1,0.05,1.0,,current,5.0,0.2,5.0
