run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_I_cont_andes,mu_I_cont_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,mu_P_ana_headroom_only,no_equilibrium,dP_critical_ana_mw,error
phead_001,G0,6gfm,gen_loss,0.6,0.0,0.05000000000000001,,0.13868512745277828,,1.8333333333333337,,,,,,1.0093494806543535,,,False,67.155,andes-2.0.0-trapezoid,0.002,andes,True,False,no post-event equilibrium: whole fleet at its P ceiling,59.208336597428925,59.210835231039525,-0.7891647689604753,-0.4126169081239684,1.557038138074511,0.04846875482924333,0.9572811004749919,0.9998349414183453,0.5046747403271767,G6,0.8411245672119613,G6,13.06450665244659,G4,6,0.6000001966512593,0.01013150689849193,False,3.2000000000000015,True,False,11.999999999999998,True,0.05000000000000001,
phead_002,G0,6gfm,gen_loss,0.6,0.0,3.4140000000000006,,0.13868512745277828,,0.30069582504970177,,,,,,0.9623577903344461,,,True,17.334,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58620459021525,59.58738107323778,-0.4126189267622209,-0.4126169081239684,0.8095696150339501,0.02888646596349399,0.9578501350873441,0.9998349414183453,0.48117889516722306,G6,0.801964825278705,G6,0.23714438236713054,G6,0,0.6000028589403517,0.01013150689849193,True,7.999999999999988,True,True,0.17574692442882248,False,3.4140000000000006,
phead_003,G0,6gfm,gen_loss,0.6,0.0,1.7320000000000002,,0.13868512745277828,,0.5166524338172501,,,,,,0.9623577903344461,,,True,14.449,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58620459021525,59.58738107323778,-0.4126189267622209,-0.4126169081239684,0.8095696150339501,0.02888646596349399,0.9578501350873441,0.9998349414183453,0.48117889516722306,G6,0.801964825278705,G6,0.46612076074917064,G6,0,0.6000028589403517,0.01013150689849193,True,7.999999999999988,True,True,0.3464203233256351,False,1.7320000000000002,
phead_004,G0,6gfm,gen_loss,0.6,0.0,0.8910000000000001,,0.13868512745277828,,0.8061292471685543,,,,,,0.9623577903344461,,,True,14.43,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58620459021525,59.58738107323778,-0.4126189267622209,-0.4126169081239684,0.8095696150339501,0.02888646596349399,0.9578501350873441,0.9998349414183453,0.48117889516722306,G6,0.801964825278705,G6,0.9012012932575534,G6,0,0.6000028589403517,0.01013150689849193,True,7.999999999999988,True,True,0.6734006734006733,False,0.8910000000000001,
phead_005,G0,6gfm,gen_loss,0.6,0.0,0.4705000000000001,,0.13868512745277828,,1.1198519204072188,,,,,,1.0009742748105706,,,False,61.129,andes-2.0.0-trapezoid,0.002,andes,True,False,no post-event equilibrium: whole fleet at its P ceiling,59.497452977912964,59.497888357739235,-0.5021116422607648,-0.4126169081239684,0.9849924252783214,0.03226425581238704,0.957638552773104,0.9998349414183453,0.5004871374052853,G6,0.8341452290088088,G6,1.681944925142311,G6,6,0.6000025449252685,0.01013150689849193,True,3.800000000000002,True,False,1.2752391073326246,True,0.4705000000000001,
phead_006,G0,6gfm,gen_loss,0.6,0.0,0.6807500000000001,,0.13868512745277828,,0.9374394731745109,,,,,,0.9655737893368964,,,True,14.698,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58620376216187,59.58738106516817,-0.41261893483183343,-0.4126169081239684,0.8096124550498774,0.02894957118153062,0.9578501350873441,0.9998349414183453,0.4827868946684482,G6,0.8046448244474138,G6,1.1755083101339936,G6,0,0.6000028709377093,0.01013150689849193,True,7.999999999999988,True,True,0.8813808299669481,False,0.6807500000000001,
phead_007,G0,6gfm,gen_loss,0.6,0.0,0.575625,,0.13868512745277828,,1.0205587770163416,,,,,,0.9868379270707512,,,False,60.656,andes-2.0.0-trapezoid,0.002,andes,True,False,no post-event equilibrium: whole fleet at its P ceiling,59.56974124849387,59.57041414390662,-0.4295858560933823,-0.4126169081239684,0.8433092940146499,0.029759232905412384,0.9578410777715324,0.9998349414183453,0.4934189635353756,G6,0.822364939225626,G6,1.3865227154323263,G6,6,0.6000027358511184,0.01013150689849193,True,4.6,True,False,1.042345276872964,True,0.5756250000000002,
phead_008,G0,6gfm,gen_loss,0.6,0.0,0.6281875000000001,,0.13868512745277828,,0.9772348695169351,,,,,,0.976104228391547,,,True,15.364,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58634401315702,59.58738121700931,-0.4126187829906911,-0.4126169081239684,0.817995949698981,0.029164734103471746,0.9578501350873441,0.9998349414183453,0.4880521141957735,G6,0.8134201903262892,G6,1.27232571184026,G6,0,0.6000026303746095,0.01013150689849193,True,7.999999999999988,True,True,0.9551288429012037,False,0.6281875000000001,
phead_009,G0,6gfm,gen_loss,0.6,0.0,0.6019062500000001,,0.13868512745277828,,0.9984270647997731,,,,,,0.9821518639642345,,,True,16.102,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.5861721594763,59.58738142344703,-0.4126185765529726,-0.4126169081239684,0.8252105276784171,0.0293671150601628,0.9578501350873441,0.9998349414183453,0.49107593198211724,G6,0.8184598866368621,G6,1.3269718445024152,G6,0,0.6000023071430184,0.01013150689849193,True,7.999999999999988,True,True,0.996832978557707,False,0.6019062500000002,
phead_010,G0,6gfm,gen_loss,0.6,0.0,0.5887656250000002,,0.13868512745277828,,1.0093716192437532,,,,,,0.9847412891809993,,,False,61.043,andes-2.0.0-trapezoid,0.002,andes,True,False,no post-event equilibrium: whole fleet at its P ceiling,59.5787682223873,59.57959350875758,-0.42040649124241725,-0.4126169081239684,0.8304783893558265,0.029542937713115815,0.9578490656676723,0.9998349414183453,0.4923706445904997,G6,0.8206177409841662,G6,1.3560938225621353,G6,6,0.6000021629942199,0.01013150689849193,True,5.999999999999995,True,False,1.0190812345744538,True,0.5887656250000002,
phead_011,G0,6gfm,gen_loss,0.6,0.0,0.7228000000000002,,0.13868512745277828,,0.9078631452581032,,,,,,0.9623577903344461,,,True,14.276,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58620459021525,59.58738107323778,-0.4126189267622209,-0.4126169081239684,0.8095696150339501,0.02888646596349399,0.9578501350873441,0.9998349414183453,0.48117889516722306,G6,0.801964825278705,G6,1.1080545376979472,G6,0,0.6000028589403517,0.01013150689849193,True,7.999999999999988,True,True,0.830105146651909,False,0.7228000000000002,
phead_012,G0,6gfm,gen_loss,0.6,0.0,1.3956000000000004,,0.13868512745277828,,0.6033107299561228,,,,,,0.9623577903344461,,,True,14.552,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58620459021525,59.58738107323778,-0.4126189267622209,-0.4126169081239684,0.8095696150339501,0.02888646596349399,0.9578501350873441,0.9998349414183453,0.48117889516722306,G6,0.801964825278705,G6,0.5776766969444048,G6,0,0.6000028589403517,0.01013150689849193,True,7.999999999999988,True,True,0.4299226139294926,False,1.3956000000000004,
phead_013,G0,6gfm,gen_loss,0.6,0.0,2.0684000000000005,,0.13868512745277828,,0.45176224611708476,,,,,,0.9623577903344461,,,True,14.187,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.58620459021525,59.58738107323778,-0.4126189267622209,-0.4126169081239684,0.8095696150339501,0.02888646596349399,0.9578501350873441,0.9998349414183453,0.48117889516722306,G6,0.801964825278705,G6,0.3906766576333021,G6,0,0.6000028589403517,0.01013150689849193,True,7.999999999999988,True,True,0.2900792883388125,False,2.0684000000000005,
