run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_I_cont_andes,mu_I_cont_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,mu_P_ana_headroom_only,no_equilibrium,dP_critical_ana_mw,error
dpmax_G0_001,G0,6gfm,gen_loss,0.05,0.0,3.414,,0.07564643315606087,,0.1640159045725646,,,,,,0.6451897214377064,,,True,14.418,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.9655331104897,59.965614286696024,-0.03438571330397622,-0.03438474234366404,0.06780911289357744,0.0024063281422243314,0.995967739915143,0.9998451025282299,0.3225948607188532,G4,0.5376581011980887,G4,0.15762308109595483,G6,0,0.05000140820447174,0.5601180096239539,True,7.999999999999988,True,True,0.014645577035735208,False,3.414,
dpmax_G0_002,G0,6gfm,gen_loss,3.0,0.0,3.414,,0.4137630662020906,,0.897117296222664,,,,,,4.473065963199984,,,False,60.542,andes-2.0.0-trapezoid,0.002,andes,True,True,tds stopped at t=7.200s; f_nadir 55.9998 < 59.0; rocof 8.0312 > 2.0; v_min 0.6530 < 0.9; mu_I(ImaxF) 2.2365 > 1.0 (G6),55.99981596193714,57.93727497635445,-2.062725023645548,-2.0630845406198417,8.031198812589354,0.2798176270961655,0.6529563557107223,1.0563989363761628,2.236532981599992,G6,3.72755496933332,G6,6.700988869984671,G6,0,2.9995742187413077,-2.3894664806853267,True,7.19999999999999,True,False,0.8787346221441125,False,3.414,
dpmax_G0_003,G0,6gfm,gen_loss,1.525,0.0,3.414,,0.2447047496790757,,0.5305666003976143,,,,,,1.4831373935604022,,,False,17.636,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 58.9448 < 59.0; rocof 2.0271 > 2.0; v_min 0.8940 < 0.9,58.94477141635476,58.95129822560117,-1.048701774398829,-1.0487346414817529,2.0270518505654036,0.07343930159338655,0.894005741727795,0.9998363416039897,0.7415686967802011,G6,1.235947827967002,G6,0.46084020290663635,G6,0,1.5249521224230729,-0.9147796606184725,True,7.999999999999988,True,True,0.4466900995899238,False,3.414,
dpmax_G0_004,G0,6gfm,gen_loss,0.7875,0.0,3.414,,0.1601755914175683,,0.3472912524850894,,,,,,1.0690297592909133,,,True,17.253,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.456719453137005,59.458441826108576,-0.5415581738914241,-0.5415596919127086,1.0603345803370132,0.03791758170395163,0.9448736391475105,0.9998314739730861,0.5345148796454566,G6,0.8908581327424276,G6,0.27133433902539966,G6,0,0.7874976848025914,-0.1773571885544177,True,7.999999999999988,True,True,0.2306678383128295,False,3.414,
dpmax_G0_005,G0,6gfm,gen_loss,1.15625,0.0,3.414,,0.202440170548322,,0.4389289264413519,,,,,,1.2754246926000337,,,True,14.191,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.20149162275053,59.20486694151946,-0.7951330584805376,-0.7951471666972307,1.5463316954817186,0.05568021805876624,0.919404356226846,0.9998246495760656,0.6377123463000168,G6,1.062853910500028,G6,0.3529083123803688,G6,0,1.156229366740737,-0.5460750144812326,True,7.999999999999988,True,True,0.33867896895137667,False,3.414,
dpmax_G0_006,G0,6gfm,gen_loss,1.340625,0.0,3.414,,0.22357246011369886,,0.4847477634194831,,,,,,1.3766289284127031,,,True,15.08,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.073397984164856,59.0780820859704,-0.9219179140295992,-0.9219409040894919,1.7838900044842103,0.06456075844997836,0.9066894587400418,0.9998212348480541,0.6883144642063516,G6,1.1471907736772526,G6,0.4027827684449457,G6,0,1.340591502081998,-0.7304289849178622,True,7.999999999999988,True,True,0.39268453427065025,False,3.414,
dpmax_G0_007,G0,6gfm,gen_loss,1.4328124999999998,0.0,3.414,,0.23413860489638727,,0.5076571819085487,,,,,,1.4277711131848614,,,True,16.483,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.009166947475904,59.01469008870212,-0.9853099112978825,-0.9853377727856223,1.9023733338606348,0.06900028088819972,0.9003506567909969,0.9998195268517119,0.7138855565924307,G6,1.1898092609873847,G6,0.43080408786020513,G6,0,1.4327719424268914,-0.8226047345741699,True,7.999999999999988,True,True,0.419687316930287,False,3.414,
dpmax_G0_008,G0,6gfm,gen_loss,1.4789062499999999,0.0,3.414,,0.2394216772877315,,0.5191118911530815,,,,,,1.455227890140658,,,False,16.499,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 58.9770 < 59.0; v_min 0.8972 < 0.9,58.97699245285245,58.982994126150594,-1.0170058738494063,-1.0170362071336876,1.9643110539179627,0.07121987852889798,0.8971776095734457,0.999818672695482,0.727613945070329,G6,1.2126899084505482,G6,0.44553466737970604,G6,0,1.478862089173653,-0.8686923005510631,True,7.999999999999988,True,True,0.4331887082601054,False,3.414,
dpmax_G0_009,G0,6gfm,gen_loss,1.4558593749999997,0.0,3.414,,0.23678014109205936,,0.5133845365308151,,,,,,1.44144927232979,,,False,15.787,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 58.9931 < 59.0; v_min 0.8988 < 0.9,58.99308509612928,58.99884210818196,-1.001157891818039,-1.0011869899596548,1.9334210906333669,0.07011010144462469,0.8987639845164228,0.9998190997867769,0.720724636164895,G6,1.2012077269414918,G6,0.4380994339151486,G6,0,1.4558170180072527,-0.8456485432685098,True,7.999999999999988,True,True,0.42643801259519615,False,3.414,
dpmax_G0_010,G0,6gfm,gen_loss,1.4443359374999998,0.0,3.414,,0.23545937299422334,,0.5105208592196818,,,,,,1.434603485167227,,,False,15.672,andes-2.0.0-trapezoid,0.002,andes,True,False,v_min 0.8996 < 0.9,59.001127334328004,59.00676609830918,-0.9932339016908216,-0.9932623813726384,1.9178978515983969,0.06955519496118302,0.8995572875380472,0.9998193133225394,0.7173017425836135,G6,1.1955029043060224,G6,0.4344344954483634,G6,0,1.4442944811035312,-0.8341266453717459,True,7.999999999999988,True,True,0.4230626647627416,False,3.414,
