kp_plim,dP_mw,wallclock_s,ok,settled,tds_converged,n_units_saturated,f_nadir_minbus_hz,df_ss_minbus_hz,rocof_window_hz_s,mu_i,mu_p,secure,df_ss_coi_hz,dip_coi_hz,kappa_os,bus_spread_hz,bus_spread_pct_of_dss,rocof_coi_window_hz_s,tau_eq_s,droop_zero_rad_s,pole_zero_cancels,kppmax_eff,conformant
0.05,0.64,21.82,True,True,True,0,59.55838614202,-0.4401537608773083,0.8627267971383642,0.5261156595627055,0.39417273637192246,True,0.44015376087728697,0.44161132838149797,1.0033114961946612,0.00013568611713310474,0.030826981203719277,0.8626677012103915,0.37130161913991944,-38.095238095238095,False,0.0025000000000000005,False
0.05,1.1793,19.99,True,True,True,0,59.184069487765285,-0.8110787499158434,1.5668373634378443,0.7321385164605797,0.6039478986388428,True,0.8110787499158647,0.8159267141079667,1.0059771806283975,0.00027199558390123,0.03353504008451027,1.566632104702731,0.37908044758352305,-38.095238095238095,False,0.0025000000000000005,False
0.1,0.64,14.64,True,True,True,0,59.55839810347395,-0.44015374671931085,0.8630059218193233,0.5252201855140846,0.3920646082881762,True,0.44015374671928953,0.44159939582127805,1.0032844184850493,0.00013555312563084954,0.030796767411660656,0.8629476239688798,0.37112974493238066,-36.36363636363636,False,0.005000000000000001,True
0.1,1.1793,15.52,True,True,True,0,59.18414023198684,-0.8110786581955125,1.5682211807927653,0.7306642178471999,0.6001281134726131,True,0.8110786581955054,0.8158561303213006,1.005890269800002,0.00027190003709165467,0.03352326366182291,1.5680047839742954,0.378610470107266,-36.36363636363636,False,0.005000000000000001,True
0.2,0.64,16.05,True,True,True,0,59.55842071127365,-0.44015371586582575,0.8635698015944373,0.52382348298892,0.3881284390428118,True,0.44015371586582575,0.4415767975327327,1.0032331470020823,0.00013536340991038287,0.030753667419144627,0.86351252672091,0.3707832097743197,-33.333333333333336,False,0.010000000000000002,True
0.2,1.1793,18.74,True,True,True,0,59.18427718671006,-0.8110784693764188,1.5684779507220867,0.727474573563107,0.5929727335414278,True,0.8110784693764188,0.8157191237831967,1.0057215850031695,0.0002718140097570654,0.03351266492945424,1.568269467016316,0.37851982465211415,-33.333333333333336,False,0.010000000000000002,True
0.5,0.64,14.43,True,True,True,0,59.55848141507033,-0.4401536369032186,0.8655706520794678,0.5202135384343931,0.3783411738200083,True,0.44015363690322573,0.44151614956093965,1.0030955387925455,0.00013668548476175602,0.031054039612947316,0.865516278043928,0.36955751289873934,-26.666666666666664,False,0.025,True
0.5,1.1793,15.42,True,True,True,0,59.18465793694259,-0.8110779574312872,1.5716552530915966,0.7189002199320851,0.5748511165563154,True,0.811077957431273,0.8153382324400127,1.005252608543613,0.00027408203116863206,0.033792316590215865,1.5714630797191782,0.3774295639785754,-26.666666666666664,False,0.025,True
1.0,0.64,14.63,True,True,True,0,59.55856462576976,-0.4401535247123576,0.8684896795659772,0.5223195970874834,0.3668578274785376,True,0.44015352471232205,0.44143305067085237,1.0029069992325215,0.0001403602506684365,0.031888930290896546,0.8684394857646885,0.36777898386398694,-20.0,False,0.05,True
1.0,1.1793,15.15,True,True,True,0,59.18518626958479,-0.8110772315215158,1.5810728655219948,0.7249295081818714,0.5535585548948778,True,0.8110772315215016,0.8148097076350069,1.0046018750970283,0.00028159419960616106,0.034718543273359784,1.580886368108853,0.37423743510073304,-20.0,False,0.05,True
2.0,0.64,14.57,True,True,True,0,59.558688920369704,-0.4401533402125466,0.8722099119586026,0.5335552314779821,0.3575405664271423,True,0.4401533402125324,0.4413089082960795,1.0026253761541128,0.00014712113398474003,0.03342497274102274,0.8721663767863891,0.36552777660403873,-13.333333333333332,False,0.1,False
2.0,1.1793,15.26,True,True,True,0,59.18592085041037,-0.811076132475975,1.5931129200294252,0.7519646126937567,0.5375230585343876,True,0.8110761324760105,0.8140750410997839,1.003697444054504,0.00029640541402642384,0.03654470920276904,1.59295822393049,0.3702002929861735,-13.333333333333332,False,0.1,False
5.0,0.64,14.58,True,True,True,0,59.459401471861824,-0.44015298933550184,1.0833675666807911,0.556732409068409,0.3414034879793822,True,0.44015298933550184,0.5405681845532371,1.2281370288302071,0.00016146457534915726,0.036683739350020096,1.0833099574792509,0.26169804066833136,-6.666666666666666,False,0.25,False
5.0,1.1793,15.26,True,True,True,0,59.00008709048091,-0.8110743211573705,2.0048288265703804,0.8086945366021875,0.5061323311016904,False,0.8110743211573563,0.9998528027954521,1.2327511508054154,0.0003286606218537713,0.04052164065369392,2.004719123504079,0.2598407825324308,-6.666666666666666,False,0.25,False
10.0,0.64,14.61,True,True,True,0,59.161326195754,-0.44015270041203536,1.6928172290131072,0.5766106540304241,0.33126289518617735,True,0.44015270041202825,0.8386382100819247,1.9053346924757544,0.0001758442606885069,0.039950739941819864,1.6927470591483904,0.07678335092638999,-3.6363636363636362,False,0.5,False
10.0,1.1793,14.78,True,True,True,0,58.44718391667367,-0.8110729292028154,3.1351609508246168,0.8667093578887631,0.4870039753432252,False,0.8110729292028225,1.5527439551919642,1.9144319817431292,0.0003650525390526127,0.04500859613344649,3.1350189945450757,0.07372879307572763,-3.6363636363636362,False,0.5,False
