run_id,config_id,gfm_deployment,event_type,dP_mw,P_dg_pre,P_head_mw,soc,mu_I_ana,mu_I_emt,mu_P_ana,f_nadir_ana,f_nadir_emt,rocof_ana,rocof_emt,v_min_emt,i_peak_pu,eps_f,eps_V,secure_flag,wallclock_s,solver,dt,platform,ok,beyond_platform,insecure_because,f_nadir_andes,f_ss_andes,df_ss_andes,df_ss_ana,rocof_andes_window,rocof_andes_device,v_min_andes,v_max_andes,mu_I_andes,mu_I_andes_unit,mu_I_cont_andes,mu_I_cont_andes_unit,mu_P_andes,mu_P_andes_unit,n_units_saturated,dP_delivered_mw,p_gfm_pre_mw,settled,t_reached_s,pflow_converged,tds_converged,mu_P_ana_headroom_only,no_equilibrium,dP_critical_ana_mw,error
dpmax_001,G0,6gfm,gen_loss,0.05,0.0,3.414,,0.07564643315606087,,0.1640159045725646,,,,,,0.6440853531755957,,,True,14.031,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.96553372143786,59.96561428668661,-0.03438571331339091,-0.03438474234366404,0.06780986150877671,0.0023994473613970745,0.9959679107689645,0.9998451025282299,0.32204267658779784,G4,0.5367377943129964,G4,0.1580911025687631,G4,0,0.05000140735523839,0.5601180096239539,True,7.999999999999988,True,True,0.014645577035735208,False,3.414,
dpmax_002,G0,6gfm,gen_loss,3.0,0.0,3.414,,0.4137630662020906,,0.897117296222664,,,,,,4.713915789767745,,,False,58.866,andes-2.0.0-trapezoid,0.002,andes,True,True,f_nadir 56.0014 < 59.0; rocof 8.0292 > 2.0; v_min 0.6149 < 0.9; mu_I(ImaxF) 2.3570 > 1.0 (G6),56.00143426889827,57.93716702375596,-2.0628329762440387,-2.0630845406198417,8.029248456027563,0.28111444984348316,0.6148819220412794,1.0769288741326644,2.3569578948838723,G6,3.9282631581397873,G6,6.499933134325783,G6,0,2.9995755583475843,-2.3894664806853267,True,7.999999999999988,True,True,0.8787346221441125,False,3.414,
dpmax_003,G0,6gfm,gen_loss,1.525,0.0,3.414,,0.2447047496790757,,0.5305666003976143,,,,,,1.461808326310051,,,False,16.539,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 58.9451 < 59.0; rocof 2.0247 > 2.0; v_min 0.8936 < 0.9,58.94505670055059,58.95129879077708,-1.0487012092229193,-1.0487346414817529,2.0246585746590404,0.07331441450936575,0.8935744730596213,0.9998178184338716,0.7309041631550255,G6,1.2181736052583758,G6,0.47845316418516604,G6,0,1.5249512382755404,-0.9147796606184725,True,7.999999999999988,True,True,0.4466900995899238,False,3.414,
dpmax_004,G0,6gfm,gen_loss,0.7875,0.0,3.414,,0.1601755914175683,,0.3472912524850894,,,,,,1.0518294290102392,,,True,14.242,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.45675882149723,59.458441903705406,-0.5415580962945938,-0.5415596919127086,1.0594114156534078,0.037829891301658584,0.9447535852365153,0.9998314739730861,0.5259147145051196,G6,0.8765245241751994,G6,0.27861854489314536,G6,0,0.7874975602288946,-0.1773571885544177,True,7.999999999999988,True,True,0.2306678383128295,False,3.414,
dpmax_005,G0,6gfm,gen_loss,1.15625,0.0,3.414,,0.202440170548322,,0.4389289264413519,,,,,,1.2510196269450506,,,True,15.247,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.201616154803936,59.20486714170564,-0.7951328582943589,-0.7951471666972307,1.5477006833894695,0.05556805617349764,0.9191730913704085,0.9998246495760656,0.6255098134725253,G6,1.0425163557875423,G6,0.36481546184853403,G6,0,1.1562290405581979,-0.5460750144812326,True,7.999999999999988,True,True,0.33867896895137667,False,3.414,
dpmax_006,G0,6gfm,gen_loss,1.340625,0.0,3.414,,0.22357246011369886,,0.4847477634194831,,,,,,1.3528286337937365,,,True,15.643,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.0735957127242,59.07808243504063,-0.9219175649593723,-0.9219409040894919,1.7870070288884226,0.06444064900606167,0.9063720199519727,0.9998212348480541,0.6764143168968683,G6,1.1273571948281138,G6,0.41744525549337014,G6,0,1.3405909388396389,-0.7304289849178622,True,7.999999999999988,True,True,0.39268453427065025,False,3.414,
dpmax_007,G0,6gfm,gen_loss,1.4328124999999998,0.0,3.414,,0.23413860489638727,,0.5076571819085487,,,,,,1.4061601681395608,,,False,16.189,andes-2.0.0-trapezoid,0.002,andes,True,False,v_min 0.9000 < 0.9,59.009407753518616,59.01469056018536,-0.9853094398146425,-0.9853377727856223,1.9029628775351,0.0688774495290828,0.8999722057677234,0.9998195268517119,0.7030800840697804,G6,1.1718001401163007,G6,0.44683531746939364,G6,0,1.4327711939567682,-0.8226047345741699,True,7.999999999999988,True,True,0.419687316930287,False,3.414,
dpmax_008,G0,6gfm,gen_loss,1.38671875,0.0,3.414,,0.22885553250504306,,0.49620247266401585,,,,,,1.3791254718153831,,,True,16.274,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.0415195255748,59.04638646965447,-0.9536135303455282,-0.9536393384375571,1.8451519149980347,0.06665902131944734,0.9031718824785867,0.9998203809025656,0.6895627359076916,G6,1.1492712265128193,G6,0.4318356836804124,G6,0,1.386681109031962,-0.7765169627036963,True,7.999999999999988,True,True,0.4061859256004687,False,3.414,
dpmax_009,G0,6gfm,gen_loss,1.409765625,0.0,3.414,,0.23149706870071518,,0.5019298272862823,,,,,,1.3923880342365555,,,True,15.982,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.025468372576924,59.03053850931156,-0.9694614906884382,-0.9694885556115898,1.8739335914304944,0.0677682296897241,0.9015719886121062,0.9998199538903181,0.6961940171182778,G6,1.1603233618637965,G6,0.4392320377162947,G6,0,1.4097261604779256,-0.7995608744057683,True,7.999999999999988,True,True,0.4129366212653778,False,3.414,
dpmax_010,G0,6gfm,gen_loss,1.4212890624999999,0.0,3.414,,0.23281783679855123,,0.5047935045974156,,,,,,1.399257286472552,,,True,15.98,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.01743928567428,59.02261453356832,-0.9773854664316772,-0.977413164198606,1.889305856635329,0.06832283775249486,0.9007720750058675,0.9998197403743081,0.699628643236276,G6,1.1660477387271269,G6,0.44304872555287145,G6,0,1.421248679189099,-0.8110828109467455,True,7.999999999999988,True,True,0.4163119690978324,False,3.414,
dpmax_011,G0,6gfm,gen_loss,0.6400000000000001,0.0,3.414,,0.14326975976526682,,0.31063618290258455,,,,,,0.9711480060379696,,,True,13.738,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.5586152232238,59.55987392019439,-0.4401260798056086,-0.4401247019988997,0.8639378490217604,0.030738224641310142,0.9550006485833764,0.9998342018430537,0.4855740030189848,G6,0.8092900050316414,G6,0.2497141466641785,G6,0,0.6400019124643294,-0.02986636747885679,True,7.999999999999988,True,True,0.1874633860574107,False,3.414,
dpmax_012,G0,6gfm,gen_loss,1.2300000000000002,0.0,3.414,,0.2108930863744728,,0.45725646123260444,,,,,,1.2903091064175582,,,True,15.36,andes-2.0.0-trapezoid,0.002,andes,True,False,,59.15045611935699,59.15415307494425,-0.8458469250557528,-0.8458646616541353,1.6430930341379706,0.05911690126544329,0.91405897614891,0.9998232838872049,0.6451545532087791,G6,1.0752575886812985,G6,0.3850030225388545,G6,0,1.229974063992842,-0.6198169980553436,True,7.999999999999988,True,True,0.3602811950790862,False,3.414,
dpmax_013,G0,6gfm,gen_loss,1.8200000000000003,0.0,3.414,,0.27851641298367874,,0.6038767395626243,,,,,,1.6490448716276123,,,False,30.929,andes-2.0.0-trapezoid,0.002,andes,True,False,f_nadir 58.7360 < 59.0; rocof 2.4510 > 2.0; v_min 0.8731 < 0.9,58.73602526993024,58.748487584490576,-1.2515124155094242,-1.251604621309371,2.4510474208875443,0.08751205200891339,0.8730958783990743,1.0147185533325345,0.8245224358138061,G6,1.374204059689677,G6,0.8184665947371838,G1,0,1.8198677833748627,-1.2097338890883491,True,7.999999999999988,True,True,0.5330990041007617,False,3.414,
dpmax_014,G0,6gfm,gen_loss,2.41,0.0,3.414,,0.34613973959288463,,0.7504970178926441,,,,,,4.677884885917245,,,False,61.267,andes-2.0.0-trapezoid,0.002,andes,True,True,tds stopped at t=4.500s; f_nadir 56.4495 < 59.0; rocof 7.0158 > 2.0; v_min 0.6245 < 0.9; v_max 1.1386 > 1.1; mu_I(ImaxF) 2.3389 > 1.0 (G6),56.449515158411444,58.010066640848564,-1.9899333591514363,-1.6573445809646066,7.015831083802986,0.24520721075676316,0.6244797818662131,1.138551581577793,2.3389424429586225,G6,3.8982374049310375,G6,4.766112157427013,G6,0,2.4105966358363924,-1.7996170477057833,False,4.5,True,False,0.705916813122437,False,3.414,
