severity,delta_P_mw,method,ffr_success_rate,nadir_hz_mean,rocof_max_mean,settling_time_mean
mild_2MW,2.0,No FFR,0.0,49.30995344281993,1.9170881153104709,14.6
mild_2MW,2.0,Fixed Droop,0.0,49.27227396718599,2.460357486676674,28.7
mild_2MW,2.0,MATD3,0.0,49.5892234170475,2.8057408808566717,45.8
mild_2MW,2.0,GCNN-PPO,0.0,49.53179791559812,3.6092142815802726,49.8
mild_2MW,2.0,MLP-MAPPO,0.0,48.96196773982741,5.404854709767791,50.0
mild_2MW,2.0,GraphSAGE-MAPPO,0.0,49.63756362558163,3.4328494231232454,6.9
moderate_4MW,4.0,No FFR,0.0,48.62602731889051,3.8341762306209417,18.0
moderate_4MW,4.0,Fixed Droop,0.0,48.55078474380757,4.3594663313328015,15.0
moderate_4MW,4.0,MATD3,0.0,49.417479312102515,3.3307741100247967,49.4
moderate_4MW,4.0,GCNN-PPO,0.0,49.44441870042981,3.8882381957364407,49.9
moderate_4MW,4.0,MLP-MAPPO,0.0,49.190962965059114,4.791978795802919,50.0
moderate_4MW,4.0,GraphSAGE-MAPPO,0.0,49.59672367787998,2.9542068509983275,10.0
severe_6MW,6.0,No FFR,0.0,48.38273376577937,4.516180327642646,17.0
severe_6MW,6.0,Fixed Droop,0.0,48.29362421941365,5.101909264052198,17.6
severe_6MW,6.0,MATD3,0.0,49.19466899227568,3.541603640261748,50.0
severe_6MW,6.0,GCNN-PPO,0.0,49.362546253508405,4.012528770079879,49.9
severe_6MW,6.0,MLP-MAPPO,0.0,48.952238534305316,5.242630827061654,50.0
severe_6MW,6.0,GraphSAGE-MAPPO,0.0,49.38342765747365,3.5659801986463657,50.0
