method,scenario,vpp,em_p_eur,am_cap_eur,am_act_eur,undersupply_eur,opex_eur,gross_revenue_eur,net_profit_eur,duration_h
No FFR,S1_load_step,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
No FFR,S1_load_step,VPP_1,2.030844821036595,0.0001875060253720828,0.0,0.0,0.0,2.031032327061967,2.031032327061967,0.08333333333333333
No FFR,S1_load_step,VPP_2,0.5140510832592194,0.00016070664308790583,0.0,0.0,0.0,0.5142117899023073,0.5142117899023073,0.08333333333333333
No FFR,S1_load_step,VPP_3,0.3827070094096786,0.00015554984533810057,0.0,0.0,0.0,0.3828625592550167,0.3828625592550167,0.08333333333333333
Fixed Droop,S1_load_step,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
Fixed Droop,S1_load_step,VPP_1,1.910897171062981,0.0038746455739592485,0.00013452658780157764,0.07708933171578017,0.0,1.914906343224742,1.8378170115089618,0.08333333333333333
Fixed Droop,S1_load_step,VPP_2,0.3458352242991899,0.0034334196395896755,0.00011920571334049704,0.06831077565177204,0.0,0.34938784965212005,0.281077074000348,0.08333333333333333
Fixed Droop,S1_load_step,VPP_3,0.26299836338070964,0.0027234029066166795,9.452543922809786e-05,0.05418448181464934,0.0,0.2658162917265544,0.21163180991190506,0.08333333333333333
GraphSAGE-MAPPO,S1_load_step,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GraphSAGE-MAPPO,S1_load_step,VPP_1,1.8252882663853058,0.12172028752195185,0.0,0.0,0.0,1.9470085539072577,1.9470085539072577,0.08333333333333333
GraphSAGE-MAPPO,S1_load_step,VPP_2,0.2090393583354103,0.077090904735033,0.0,0.0,0.0,0.2861302630704433,0.2861302630704433,0.08333333333333333
GraphSAGE-MAPPO,S1_load_step,VPP_3,0.16019309909105217,0.0702436517487695,0.0,0.0,0.0,0.23043675083982168,0.23043675083982168,0.08333333333333333
MLP-MAPPO,S1_load_step,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MLP-MAPPO,S1_load_step,VPP_1,1.829818257142432,0.3656854109008192,8.830441880734316e-06,2.652619580347723,0.0,2.195512498485132,-0.45710708186259064,0.08333333333333333
MLP-MAPPO,S1_load_step,VPP_2,0.23651859921634233,0.3664373302392992,8.864364922895286e-06,2.6606094966753635,0.0,0.6029647938205643,-2.057644702854799,0.08333333333333333
MLP-MAPPO,S1_load_step,VPP_3,0.18368704635892624,0.3636757611496374,8.802613063525655e-06,2.6414856066988244,0.0,0.5473716101216273,-2.094113996577197,0.08333333333333333
GCNN-PPO,S1_load_step,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GCNN-PPO,S1_load_step,VPP_1,1.9021267983338408,0.31942743980749616,2.4412480378983495e-05,4.609361839296094,0.0,2.221578650621716,-2.3877831886743777,0.08333333333333333
GCNN-PPO,S1_load_step,VPP_2,0.33802961165623724,0.3201087881981975,2.443549079406629e-05,4.614603310682822,0.0,0.6581628353452289,-3.9564404753375935,0.08333333333333333
GCNN-PPO,S1_load_step,VPP_3,0.25851203317514804,0.3090274904158579,2.3591648143305897e-05,4.454918822824877,0.0,0.5675631152391492,-3.8873557075857277,0.08333333333333333
MATD3,S1_load_step,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MATD3,S1_load_step,VPP_1,1.8420492366223002,0.3719087002774096,0.0,0.0,0.0,2.21395793689971,2.21395793689971,0.08333333333333333
MATD3,S1_load_step,VPP_2,0.23733628823849756,0.37209409521582426,0.0,0.0,0.0,0.6094303834543218,0.6094303834543218,0.08333333333333333
MATD3,S1_load_step,VPP_3,0.1819177120756344,0.37163145796302866,0.0,0.0,0.0,0.553549170038663,0.553549170038663,0.08333333333333333
No FFR,S2_gen_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
No FFR,S2_gen_trip,VPP_1,1.962292645918172,0.0036762228822177978,0.0,0.0,0.0,1.9659688688003898,1.9659688688003898,0.08333333333333333
No FFR,S2_gen_trip,VPP_2,0.414444668059814,0.003361901400356147,0.0,0.0,0.0,0.41780656946017014,0.41780656946017014,0.08333333333333333
No FFR,S2_gen_trip,VPP_3,0.31442600353329847,0.002802216652802599,0.0,0.0,0.0,0.3172282201861011,0.3172282201861011,0.08333333333333333
Fixed Droop,S2_gen_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
Fixed Droop,S2_gen_trip,VPP_1,1.837008355587887,0.018738848503027115,0.00037899229563591487,0.3736399931736347,0.0,1.85612619638655,1.4824862032129154,0.08333333333333333
Fixed Droop,S2_gen_trip,VPP_2,0.232285690468977,0.016587129247368805,0.00033567300947957233,0.33073556591893744,0.0,0.24920849272582538,-0.08152707319311206,0.08333333333333333
Fixed Droop,S2_gen_trip,VPP_3,0.17737106415512655,0.013584535504953577,0.00027489141489917435,0.2708660358543741,0.0,0.1912304910749793,-0.07963554477939477,0.08333333333333333
GraphSAGE-MAPPO,S2_gen_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GraphSAGE-MAPPO,S2_gen_trip,VPP_1,1.8147763735083267,0.12270411830120916,0.0,0.0,0.0,1.9374804918095359,1.9374804918095359,0.08333333333333333
GraphSAGE-MAPPO,S2_gen_trip,VPP_2,0.2007297692018875,0.07717787870135726,0.0,0.0,0.0,0.27790764790324474,0.27790764790324474,0.08333333333333333
GraphSAGE-MAPPO,S2_gen_trip,VPP_3,0.14892504771056386,0.0706352666441726,0.0,0.0,0.0,0.21956031435473647,0.21956031435473647,0.08333333333333333
MLP-MAPPO,S2_gen_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MLP-MAPPO,S2_gen_trip,VPP_1,1.9179733060443827,0.35538403318030903,1.546618784231509e-05,3.8398842806757982,0.0,2.273372805412534,-1.566511475263264,0.08333333333333333
MLP-MAPPO,S2_gen_trip,VPP_2,0.35350386102573883,0.35523270919015026,1.543002598688066e-05,3.8336568334122205,0.0,0.708752000241876,-3.1249048331703446,0.08333333333333333
MLP-MAPPO,S2_gen_trip,VPP_3,0.267933903628781,0.35272767127305416,1.5317177329093842e-05,3.805149276636746,0.0,0.6206768920791642,-3.1844723845575817,0.08333333333333333
GCNN-PPO,S2_gen_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GCNN-PPO,S2_gen_trip,VPP_1,1.9250102246878562,0.31984082467778885,2.308215097265306e-05,4.60063593782809,0.0,2.244874131516618,-2.3557618063114725,0.08333333333333333
GCNN-PPO,S2_gen_trip,VPP_2,0.3596129683474439,0.3174200038160436,2.2971721069826933e-05,4.572500909633929,0.0,0.6770559438845574,-3.8954449657493715,0.08333333333333333
GCNN-PPO,S2_gen_trip,VPP_3,0.26931149924367725,0.3077625137045636,2.233044568600709e-05,4.450567894890833,0.0,0.5770963433939268,-3.8734715514969063,0.08333333333333333
MATD3,S2_gen_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MATD3,S2_gen_trip,VPP_1,1.9612939443774902,0.37189412141048195,0.0,0.0,0.0,2.333188065787972,2.333188065787972,0.08333333333333333
MATD3,S2_gen_trip,VPP_2,0.41841638519464314,0.37195607282105103,0.0,0.0,0.0,0.7903724580156941,0.7903724580156941,0.08333333333333333
MATD3,S2_gen_trip,VPP_3,0.3166658047343428,0.3716373816831054,0.0,0.0,0.0,0.6883031864174483,0.6883031864174483,0.08333333333333333
No FFR,S3_line_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
No FFR,S3_line_trip,VPP_1,1.7814631679979271,0.0001586341926958994,0.0,0.0,0.0,1.781621802190623,1.781621802190623,0.08333333333333333
No FFR,S3_line_trip,VPP_2,0.16942293811380219,0.0001644545731105609,0.0,0.0,0.0,0.16958739268691275,0.16958739268691275,0.08333333333333333
No FFR,S3_line_trip,VPP_3,0.13042562572719257,0.00012243720958576886,0.0,0.0,0.0,0.13054806293677834,0.13054806293677834,0.08333333333333333
Fixed Droop,S3_line_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
Fixed Droop,S3_line_trip,VPP_1,1.7259222318728642,0.0038841011723395125,0.00012455508224374647,0.0773083582000589,0.0,1.7299308881274476,1.6526225299273887,0.08333333333333333
Fixed Droop,S3_line_trip,VPP_2,0.08129295927161997,0.0034182287026381583,0.00010960253139095566,0.06803576645859064,0.0,0.0848207905056491,0.016785024047058464,0.08333333333333333
Fixed Droop,S3_line_trip,VPP_3,0.06964674874519275,0.002739847554478712,8.784012250213433e-05,0.054533430722068274,0.0,0.0724744364221736,0.01794100570010533,0.08333333333333333
GraphSAGE-MAPPO,S3_line_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GraphSAGE-MAPPO,S3_line_trip,VPP_1,1.7636526017581275,0.12195505993429101,0.0,0.0,0.0,1.8856076616924184,1.8856076616924184,0.08333333333333333
GraphSAGE-MAPPO,S3_line_trip,VPP_2,0.13635465443267128,0.07668154656003753,0.0,0.0,0.0,0.2130362009927088,0.2130362009927088,0.08333333333333333
GraphSAGE-MAPPO,S3_line_trip,VPP_3,0.10691226997140013,0.0702904047857537,0.0,0.0,0.0,0.17720267475715384,0.17720267475715384,0.08333333333333333
